task_id,family,law,variant,mode,solver,replicate,role,condition,panel,sample_id,metrics
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O0,S1,linearized_gaussian,model,whole_fNIRS,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.47832816264207345, ""bias_coordinate"": 0.002273726276459847}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07526740054414943}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.02419989196133021}}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O1,S1,linearized_gaussian,model,whole_fNIRS,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.46853673295503356, ""bias_coordinate"": 0.0023684571472961918}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07526740054414943}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.02419989196133021}}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2,S1,linearized_gaussian,model,whole_fNIRS,O2,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4685367328562122, ""bias_coordinate"": 0.002368457263743659}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07526740054414943}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.02419989196133021}}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_pointwise,S1,linearized_gaussian,model,whole_fNIRS,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4685367328562122, ""bias_coordinate"": 0.002368457263743659}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07526740054414943}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.02419989196133021}}"
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_mean_only,S1,linearized_gaussian,model,whole_fNIRS,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4685367328562122, ""bias_coordinate"": 0.002368457263743659}, ""HbO"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.07526740054414943}, ""HbR"": {""visible_samples"": 0, ""full_processed_truth_sd"": 0.02419989196133021}}"
v3__S1__linearized_gaussian__0__combined__full__O0,S1,linearized_gaussian,combined,full,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.6237241520843343, ""bias_coordinate"": 0.0033646196471269455}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7456969874113643, ""bias_coordinate"": 0.023044954679367523}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.6072009791489251, ""bias_coordinate"": -0.0033178882536059108}}"
v3__S1__linearized_gaussian__0__combined__full__O1,S1,linearized_gaussian,combined,full,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.441143755458312, ""bias_coordinate"": -0.008501190331263786}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.04581075635054084, ""bias_coordinate"": 0.0011933147352145162}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.19085447310613543, ""bias_coordinate"": 0.00034004829153294435}}"
v3__S1__linearized_gaussian__0__combined__full__O2,S1,linearized_gaussian,combined,full,O2,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.43648628288824537, ""bias_coordinate"": -0.006056293413924862}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.043188396322862074, ""bias_coordinate"": 0.0008391981902146165}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.19370272112991907, ""bias_coordinate"": 0.0003857250019052442}}"
v3__S1__linearized_gaussian__0__combined__full__O2_pointwise,S1,linearized_gaussian,combined,full,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.620809350171416, ""bias_coordinate"": 0.0036491580194024753}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7335545584748305, ""bias_coordinate"": 0.02254260181420505}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.6032809791384167, ""bias_coordinate"": -0.003501951276596325}}"
v3__S1__linearized_gaussian__0__combined__full__O2_mean_only,S1,linearized_gaussian,combined,full,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.6087794346366909, ""bias_coordinate"": -0.026113394552820756}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.30965871811259515, ""bias_coordinate"": 0.012524563008303898}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.31621713219045333, ""bias_coordinate"": -0.002698669273094308}}"
v3__S1__linearized_gaussian__0__combined__center_EEG__O0,S1,linearized_gaussian,combined,center_EEG,O0,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.61410157768006, ""bias_coordinate"": -0.0019539443454780533}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.04833525212489507, ""nrmse"": 0.7411308183581257, ""bias_coordinate"": 0.022890704843841533}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.010866813027666664, ""nrmse"": 0.6073197233769028, ""bias_coordinate"": -0.0033282716485850063}}"
