task_id,family,solver,fit_calls_lower_bound,optimizer_starts,optimizer_evaluations,interrupted_call_possible,reused_task,elapsed_seconds,peak_rss_bytes
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__baseline__1,S3_synthetic,O2,12,24,236,False,,20.76093912695069,698781696
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__baseline__2,S3_synthetic,O2,12,24,244,False,,21.78494966501603,694169600
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,268,False,,24.153432820981834,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,272,False,,23.86640186799923,695877632
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,318,False,,26.88557006197516,700465152
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,220,False,,20.734709364012815,695595008
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,224,False,,21.174815506965388,700579840
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,240,False,,22.35911889502313,705458176
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,351,False,,29.861947531986516,695590912
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,715,False,,59.985780633985996,698769408
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,647,False,,50.73055766598554,1102057472
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_2__0,S3_synthetic,O2,12,24,216,False,,20.031819841999095,863010816
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_2__1,S3_synthetic,O2,12,24,224,False,,21.144914742966648,703741952
v3_inner__S3_synthetic__synthetic__gain__w_low__1__0__O2__gain_2__2,S3_synthetic,O2,12,24,224,False,,20.562180106993765,1099665408
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__baseline__0,S3_synthetic,O2,12,24,236,False,,20.781395206053276,698781696
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__baseline__1,S3_synthetic,O2,12,24,238,False,,21.275087561050896,694169600
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__baseline__2,S3_synthetic,O2,12,24,248,False,,22.75164508301532,697155584
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,268,False,,24.653909591026604,695595008
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,298,False,,26.330766398983542,698265600
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,256,False,,23.246974105015397,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,228,False,,20.547378915012814,695877632
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,232,False,,21.718862401030492,700579840
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,216,False,,19.287541857047472,700465152
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,342,False,,30.044260472990572,705458176
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,534,False,,44.53671822400065,863010816
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,314,False,,28.11774777196115,703741952
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_2__0,S3_synthetic,O2,12,24,220,False,,19.915365404973272,1099665408
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_2__1,S3_synthetic,O2,12,24,232,False,,20.482890838000458,698781696
v3_inner__S3_synthetic__synthetic__gain__w_low__2__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,19.506218128022738,694169600
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__baseline__0,S3_synthetic,O2,12,24,244,False,,21.89118217100622,695590912
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__baseline__1,S3_synthetic,O2,12,24,248,False,,22.102047177031636,695877632
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__baseline__2,S3_synthetic,O2,12,24,240,False,,22.01885554700857,697155584
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,260,False,,22.632589019020088,700465152
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,260,False,,23.822102358972188,700579840
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,252,False,,22.86469501600368,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,232,False,,21.67619810497854,695595008
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,224,False,,20.425483007042203,698265600
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,236,False,,21.138345219020266,1099665408
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,305,False,,25.97365996503504,698781696
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,385,False,,32.062553763971664,694169600
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,334,False,,29.25905294099357,705458176
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_2__0,S3_synthetic,O2,12,24,224,False,,20.279491698020138,695590912
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_2__1,S3_synthetic,O2,12,24,220,False,,19.550682506000157,1102057472
v3_inner__S3_synthetic__synthetic__gain__w_low__3__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,20.501630246988498,703741952
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__baseline__0,S3_synthetic,O2,12,24,272,False,,23.977637686999515,695877632
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__baseline__1,S3_synthetic,O2,12,24,272,False,,24.630495416000485,697155584
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__baseline__2,S3_synthetic,O2,12,24,260,False,,23.907925729989074,695595008
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,342,False,,28.897862139041536,700465152
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,304,False,,27.04280941101024,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,288,False,,25.692706332949456,698265600
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,240,False,,22.358947824977804,700579840
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,240,False,,22.309169000014663,698769408
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,220,False,,20.3350937590003,863010816
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,650,False,,53.24066308501642,1099665408
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,416,False,,35.00503784301691,695590912
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,384,False,,31.23185847501736,1102057472
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_2__0,S3_synthetic,O2,12,24,224,False,,20.004532336024567,698781696
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,20.27721938403556,703741952
v3_inner__S3_synthetic__synthetic__gain__w_high__0__0__O2__gain_2__2,S3_synthetic,O2,12,24,212,False,,19.357127526018303,695877632
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__baseline__0,S3_synthetic,O2,12,24,260,False,,23.904640416963957,697155584
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__baseline__1,S3_synthetic,O2,12,24,264,False,,24.077314715017565,705458176
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__baseline__2,S3_synthetic,O2,12,24,260,False,,24.23831093602348,695595008
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,310,False,,28.12804361298913,700579840
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,333,False,,28.56479545502225,694169600
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,272,False,,24.691030958027113,698265600
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,240,False,,22.14993193600094,698769408
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,252,False,,22.73021847300697,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,220,False,,19.4913782600197,700465152
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,459,False,,38.415323808032554,863010816
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,578,False,,45.89355531899491,698781696
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,384,False,,32.73583631700603,703741952
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_2__0,S3_synthetic,O2,12,24,224,False,,20.198852721019648,695877632
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_2__1,S3_synthetic,O2,12,24,244,False,,22.26925879000919,697155584
v3_inner__S3_synthetic__synthetic__gain__w_high__1__0__O2__gain_2__2,S3_synthetic,O2,12,24,224,False,,19.787796921969857,1102057472
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__baseline__0,S3_synthetic,O2,12,24,284,False,,25.5162324970006,705458176
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__baseline__1,S3_synthetic,O2,12,24,272,False,,24.894387905020267,695595008
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__baseline__2,S3_synthetic,O2,12,24,258,False,,22.429219971993007,700465152
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,378,False,,32.6193378699827,698769408
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,340,False,,29.559184876969084,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,307,False,,26.63708408200182,695590912
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,252,False,,22.76866224099649,698265600
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,244,False,,22.65038165898295,700579840
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,224,False,,20.16534883202985,694169600
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,712,False,,56.72720817400841,695877632
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,588,False,,48.317317946988624,1099665408
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,498,False,,39.924441388982814,1102057472
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_2__0,S3_synthetic,O2,12,24,240,False,,21.857676220010035,863010816
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_2__1,S3_synthetic,O2,12,24,224,False,,20.868790853011888,697155584
v3_inner__S3_synthetic__synthetic__gain__w_high__2__0__O2__gain_2__2,S3_synthetic,O2,12,24,208,False,,19.50422336597694,703741952
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__baseline__0,S3_synthetic,O2,12,24,268,False,,23.046265078010038,700465152
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__baseline__1,S3_synthetic,O2,12,24,252,False,,23.277263856027275,695595008
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__baseline__2,S3_synthetic,O2,12,24,256,False,,23.396136194991414,705458176
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,296,False,,25.71590951899998,694169600
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,282,False,,25.329062237986363,698265600
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,332,False,,29.84657191502629,700579840
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,240,False,,21.609190154995304,695590912
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,220,False,,20.186856663960498,1103720448
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,236,False,,20.826990914996713,698781696
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,412,False,,35.0523191250395,698769408
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,432,False,,37.147169866017066,703741952
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,534,False,,44.15814876597142,697167872
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_2__0,S3_synthetic,O2,12,24,216,False,,19.81800852296874,863010816
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,19.207127107016277,700465152
v3_inner__S3_synthetic__synthetic__gain__w_high__3__0__O2__gain_2__2,S3_synthetic,O2,12,24,232,False,,21.58617303997744,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__baseline__0,S3_synthetic,O2,12,24,228,False,,21.222792228043545,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__baseline__1,S3_synthetic,O2,12,24,224,False,,20.34264741098741,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__baseline__2,S3_synthetic,O2,12,24,224,False,,20.1869343459839,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,232,False,,21.33187227504095,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,260,False,,23.460279382998124,1103720448
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,232,False,,20.541024149977602,698781696
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,216,False,,20.398180366959423,700579840
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,216,False,,19.16180203895783,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,220,False,,20.152920632972382,863010816
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,260,False,,23.19833948201267,1099665408
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,302,False,,25.60906091600191,700727296
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,279,False,,25.180147227016278,698769408
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_2__0,S3_synthetic,O2,12,24,216,False,,19.614333987992723,695877632
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,20.291870234010275,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_low__0__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,20.34997674502665,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__baseline__0,S3_synthetic,O2,12,24,216,False,,19.436987655994017,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__baseline__1,S3_synthetic,O2,12,24,240,False,,21.519718094961718,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__baseline__2,S3_synthetic,O2,12,24,232,False,,21.10031045199139,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,228,False,,20.242136076965835,698781696
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,248,False,,22.584765926992986,1103720448
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,240,False,,22.230721811007243,700579840
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,216,False,,19.230658237996977,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,216,False,,20.6127275750041,703741952
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,220,False,,20.19289430102799,863010816
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,276,False,,24.661789872974623,697606144
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,292,False,,25.31221117498353,1099665408
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,269,False,,23.585282630985603,695877632
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_2__0,S3_synthetic,O2,12,24,212,False,,19.94834316096967,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,20.409653407055885,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_low__1__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,19.551164984994102,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__baseline__0,S3_synthetic,O2,12,24,232,False,,20.530077045958024,700751872
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__baseline__1,S3_synthetic,O2,12,24,224,False,,20.533991479955148,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__baseline__2,S3_synthetic,O2,12,24,224,False,,20.589518130000215,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,252,False,,23.251057866960764,698769408
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,224,False,,19.976433645002544,698781696
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,240,False,,21.115392061998136,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,224,False,,20.642488832003437,1103720448
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,216,False,,20.26385481999023,700649472
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,220,False,,20.982632162980735,703741952
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,312,False,,27.1454259059974,863010816
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,252,False,,23.02603965997696,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,272,False,,23.828232855943497,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_2__0,S3_synthetic,O2,12,24,220,False,,20.71699185896432,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,19.849814103043173,698044416
v3_inner__S3_synthetic__synthetic__gain__gw_low__2__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,19.352589073008858,701407232
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__baseline__0,S3_synthetic,O2,12,24,240,False,,21.40592845401261,1099665408
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__baseline__1,S3_synthetic,O2,12,24,228,False,,20.572735079971608,695877632
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__baseline__2,S3_synthetic,O2,12,24,252,False,,22.532900664955378,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,248,False,,22.4653238140163,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,236,False,,20.890064111037645,698781696
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,272,False,,24.889051004021894,698769408
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,220,False,,19.646496706001926,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,216,False,,20.006154756993055,1103720448
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,228,False,,21.460839634994045,700649472
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,280,False,,25.77587836200837,703741952
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,272,False,,24.652182052028365,863010816
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,384,False,,33.31176884198794,698650624
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_2__0,S3_synthetic,O2,12,24,216,False,,19.512285237957258,701845504
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_2__1,S3_synthetic,O2,12,24,216,False,,20.5222330110264,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_low__3__0__O2__gain_2__2,S3_synthetic,O2,12,24,216,False,,20.60935086401878,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__baseline__0,S3_synthetic,O2,12,24,276,False,,24.390126432001125,695877632
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__baseline__1,S3_synthetic,O2,12,24,290,False,,25.60822949197609,1099665408
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__baseline__2,S3_synthetic,O2,12,24,280,False,,24.75479334202828,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,339,False,,29.316728267993312,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,377,False,,31.112145961029455,698982400
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,319,False,,28.41148233000422,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,244,False,,21.623684111982584,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,328,False,,29.086345396994147,1103720448
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,244,False,,23.02955362998182,700649472
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,610,False,,50.2957556520123,698769408
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p5__1,S3_synthetic,O2,12,24,1184,False,,94.1467036959948,703741952
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_0p5__2,S3_synthetic,O2,12,24,586,False,,46.2357507669949,702283776
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_2__0,S3_synthetic,O2,12,24,228,False,,21.274131754995324,705458176
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_2__1,S3_synthetic,O2,12,24,284,False,,25.897062795993406,695595008
v3_inner__S3_synthetic__synthetic__gain__gw_high__0__0__O2__gain_2__2,S3_synthetic,O2,12,24,236,False,,21.61546028399607,863010816
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__baseline__0,S3_synthetic,O2,12,24,288,False,,25.125156491994858,695877632
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__baseline__1,S3_synthetic,O2,12,24,276,False,,24.20107186405221,694169600
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__baseline__2,S3_synthetic,O2,12,24,284,False,,24.48035935900407,1102057472
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_0p75__0,S3_synthetic,O2,12,24,354,False,,30.27458929194836,1099665408
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_0p75__1,S3_synthetic,O2,12,24,397,False,,34.10541185201146,698671104
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_0p75__2,S3_synthetic,O2,12,24,368,False,,32.64765560301021,701124608
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_1p5__0,S3_synthetic,O2,12,24,252,False,,22.55846598203061,695590912
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_1p5__1,S3_synthetic,O2,12,24,272,False,,24.767601793981157,698265600
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_1p5__2,S3_synthetic,O2,12,24,264,False,,22.976770193025004,699420672
v3_inner__S3_synthetic__synthetic__gain__gw_high__1__0__O2__gain_0p5__0,S3_synthetic,O2,12,24,649,False,,53.64015287102666,1103720448
