task_id,family,solver,fit_calls_lower_bound,optimizer_starts,optimizer_evaluations,interrupted_call_possible,reused_task,elapsed_seconds,peak_rss_bytes
v3__S1__linearized_gaussian__1__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.20100293698487803,684650496
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.7506525000208057,684650496
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.8368884009541944,684650496
v3__S1__linearized_gaussian__1__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7909980859840289,684650496
v3__S1__linearized_gaussian__1__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.2791024300386198,684650496
v3__S1__linearized_gaussian__1__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.1714030999573879,684650496
v3__S1__linearized_gaussian__1__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.786154108995106,684908544
v3__S1__linearized_gaussian__1__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.8440285349497572,684650496
v3__S1__linearized_gaussian__1__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7426097830175422,684650496
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.2903965979930945,684650496
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.1583549469942227,684650496
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2,S1,O2,1,2,21,False,,1.8994486770243384,684650496
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,21,False,,1.9310333910398185,684650496
v3__S1__linearized_gaussian__1__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,21,False,,1.9132323740050197,686628864
v3__S1__linearized_gaussian__1__combined__full__O0,S1,O0,1,0,0,False,,1.0232966900221072,684650496
v3__S1__linearized_gaussian__1__combined__full__O1,S1,O1,1,0,0,False,,0.9212401650147513,684650496
v3__S1__linearized_gaussian__1__combined__full__O2,S1,O2,1,2,22,False,,2.8421259360038675,684650496
v3__S1__linearized_gaussian__1__combined__full__O2_pointwise,S1,O2_pointwise,1,2,14,False,,2.188727363012731,684650496
v3__S1__linearized_gaussian__1__combined__full__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.558846553962212,685056000
v3__S1__linearized_gaussian__1__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.9830237299902365,689205248
v3__S1__linearized_gaussian__1__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.8708330899826251,684650496
v3__S1__linearized_gaussian__1__combined__center_EEG__O2,S1,O2,1,2,22,False,,2.5621758539928123,685326336
v3__S1__linearized_gaussian__1__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,14,False,,2.0681221740087494,684650496
v3__S1__linearized_gaussian__1__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.343964713974856,684650496
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.9255438300315291,684908544
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.833169972000178,684650496
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.4796439060010016,684650496
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,14,False,,1.9907826330163516,684650496
v3__S1__linearized_gaussian__1__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.4489446679945104,684650496
v3__S1__linearized_gaussian__1__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.9090062369941734,684650496
v3__S1__linearized_gaussian__1__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.8086193180060945,689205248
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2,S1,O2,1,2,22,False,,2.6410008299862966,684650496
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,14,False,,2.00484912696993,684908544
v3__S1__linearized_gaussian__1__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,34,False,,3.292240900977049,684650496
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.876530145003926,684650496
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7639953219913878,686628864
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2,S1,O2,1,2,29,False,,2.9623016620171256,689205248
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,22,False,,2.485722632962279,684650496
v3__S1__linearized_gaussian__1__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,19,False,,2.3632683379692025,684650496
v3__S1__linearized_gaussian__2__model__full__O0,S1,O0,1,0,0,False,,0.3568964609876275,686628864
v3__S1__linearized_gaussian__2__model__full__O1,S1,O1,1,0,0,False,,0.26149766403250396,684650496
v3__S1__linearized_gaussian__2__model__full__O2,S1,O2,1,2,18,False,,1.8415815469925292,684650496
v3__S1__linearized_gaussian__2__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7843713070033118,684650496
v3__S1__linearized_gaussian__2__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8459097569575533,687251456
v3__S1__linearized_gaussian__2__model__center_EEG__O0,S1,O0,1,0,0,False,,0.30416742799570784,684650496
v3__S1__linearized_gaussian__2__model__center_EEG__O1,S1,O1,1,0,0,False,,0.21064073604065925,684650496
v3__S1__linearized_gaussian__2__model__center_EEG__O2,S1,O2,1,2,18,False,,1.6566086189704947,686628864
v3__S1__linearized_gaussian__2__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7459159669815563,684650496
v3__S1__linearized_gaussian__2__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7030814469908364,684650496
v3__S1__linearized_gaussian__2__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.30978681601118296,684650496
v3__S1__linearized_gaussian__2__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.2019453560351394,684650496
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.7906072239857167,684908544
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7352693239809014,685056000
v3__S1__linearized_gaussian__2__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.821125362010207,684650496
v3__S1__linearized_gaussian__2__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.2936758599826135,684650496
v3__S1__linearized_gaussian__2__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.178073488001246,684650496
v3__S1__linearized_gaussian__2__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.7115324140177108,684650496
v3__S1__linearized_gaussian__2__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7525845909840427,684650496
v3__S1__linearized_gaussian__2__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.793071330001112,684650496
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.2691801190376282,684650496
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.16197841701796278,684650496
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2,S1,O2,1,2,20,False,,1.9023238079971634,684650496
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,20,False,,1.885812294029165,686628864
v3__S1__linearized_gaussian__2__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,20,False,,1.7622408620081842,684650496
v3__S1__linearized_gaussian__2__combined__full__O0,S1,O0,1,0,0,False,,0.9963808940374292,687251456
v3__S1__linearized_gaussian__2__combined__full__O1,S1,O1,1,0,0,False,,0.8806514670141041,684650496
v3__S1__linearized_gaussian__2__combined__full__O2,S1,O2,1,2,18,False,,2.428256399987731,684650496
v3__S1__linearized_gaussian__2__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.4351174919866025,684650496
v3__S1__linearized_gaussian__2__combined__full__O2_mean_only,S1,O2_mean_only,1,2,26,False,,2.939942218014039,684650496
v3__S1__linearized_gaussian__2__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.9456604109727778,689205248
v3__S1__linearized_gaussian__2__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.8450553509755991,684650496
v3__S1__linearized_gaussian__2__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.431017332011834,685056000
v3__S1__linearized_gaussian__2__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.4032649190048687,684908544
v3__S1__linearized_gaussian__2__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,26,False,,3.113171849050559,684650496
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.9469290600391105,687251456
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.8345931809744798,684650496
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.2555609950213693,689205248
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.363957322028,684650496
v3__S1__linearized_gaussian__2__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,26,False,,2.9794377060025,684650496
v3__S1__linearized_gaussian__2__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.8868224349571392,684650496
v3__S1__linearized_gaussian__2__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.7823646939941682,684650496
v3__S1__linearized_gaussian__2__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.1805182049865834,684650496
