stream,condition,parity,candidate,mode,expected,completed,r_nrmse,r_coverage95,r_mean_interval_width,clean_EEG_nrmse,clean_EEG_coverage95,clean_EEG_mean_interval_width,clean_HbO_nrmse,clean_HbO_coverage95,clean_HbO_mean_interval_width,clean_HbR_nrmse,clean_HbR_coverage95,clean_HbR_mean_interval_width,mean_log_likelihood
discovery,true_g,1,g-0.6_w-0.5,EEG_only,8,8,0.6730391794111774,0.923828125,0.1714632756992892,0.6730391794111774,0.923828125,0.1714632756992892,1.1082461269669999,0.498046875,0.08296497230595673,1.0696647913414608,0.591796875,0.026719059156362954,48.29674533314375
discovery,true_g,1,g-0.6_w-0.5,fNIRS_only,8,8,1.6962398707364497,0.69140625,0.2551238918812286,1.6962398707364497,0.69140625,0.2551238918812286,0.2552978451231661,0.748046875,0.031252984529197024,0.2570614265200496,0.86328125,0.011150248571331019,269.7992520398958
discovery,true_g,0,g-0.6_w-0.25,full,8,8,0.5961175026235923,0.93359375,0.16275899482713446,0.5961175026235923,0.93359375,0.16275899482713446,0.2584398803013029,0.8359375,0.028977033001569646,0.25525891909718246,0.89453125,0.01053232148490024,327.9320192894851
discovery,true_g,0,g-0.6_w-0.25,EEG_only,8,8,0.6518462380540783,0.931640625,0.17223438275231645,0.6518462380540783,0.931640625,0.17223438275231645,0.8740723237346222,0.658203125,0.07038015972101704,0.854660679092629,0.669921875,0.022475640838441606,46.18515592339894
discovery,true_g,0,g-0.6_w-0.25,fNIRS_only,8,8,0.865291811247829,0.904296875,0.2313403218486635,0.865291811247829,0.904296875,0.2313403218486635,0.2547217199885334,0.880859375,0.03134223200968027,0.25893667020890265,0.904296875,0.010960263759756863,281.7700891132481
discovery,true_g,1,g-0.6_w-0.25,full,8,8,1.0191233930642727,0.73828125,0.162698657392082,1.0191233930642727,0.73828125,0.162698657392082,0.2533330442803844,0.73828125,0.03097144348647539,0.2810545565830149,0.826171875,0.011173805673798085,304.4953672323685
discovery,true_g,1,g-0.6_w-0.25,EEG_only,8,8,0.6730391794111774,0.923828125,0.17146327569928924,0.6730391794111774,0.923828125,0.17146327569928924,1.0429106874641307,0.474609375,0.07164610328082927,1.0120539371253965,0.552734375,0.022899996283698466,48.29674533314375
discovery,true_g,1,g-0.6_w-0.25,fNIRS_only,8,8,1.5528685564493734,0.70703125,0.23264390188035958,1.5528685564493734,0.70703125,0.23264390188035958,0.2321836433108207,0.810546875,0.03205126483869522,0.24020370006915745,0.904296875,0.011308831545986369,273.36846086949
discovery,true_g,0,g-0.6_w0,full,8,8,0.5810247193041204,0.94140625,0.15776673328788246,0.5810247193041204,0.94140625,0.15776673328788246,0.23218969242553233,0.888671875,0.029738183374576576,0.23523638283263565,0.921875,0.010649236494075976,329.5572568382394
discovery,true_g,0,g-0.6_w0,EEG_only,8,8,0.6518462380540784,0.931640625,0.17223438275231645,0.6518462380540784,0.931640625,0.17223438275231645,0.835595872102564,0.66015625,0.06619617499393726,0.8180730176249862,0.65234375,0.020844308083415797,46.18515592339893
discovery,true_g,0,g-0.6_w0,fNIRS_only,8,8,0.806303982699243,0.9296875,0.21268025896829204,0.806303982699243,0.9296875,0.21268025896829204,0.24545405893370295,0.912109375,0.032659650357600864,0.25544864186434163,0.908203125,0.011176316030247168,282.78094749869194
discovery,true_g,1,g-0.6_w0,full,8,8,1.107153003012542,0.69140625,0.15815110645216485,1.107153003012542,0.69140625,0.15815110645216485,0.22638527430957636,0.806640625,0.03184732361397513,0.2666555081030303,0.849609375,0.01136699900554159,302.47210018876507
discovery,true_g,1,g-0.6_w0,EEG_only,8,8,0.6730391794111774,0.923828125,0.17146327569928926,0.6730391794111774,0.923828125,0.17146327569928926,1.00185593740285,0.451171875,0.06739308267152203,0.9778445049283957,0.548828125,0.021277696678727184,48.29674533314375
discovery,true_g,1,g-0.6_w0,fNIRS_only,8,8,1.4517690057525523,0.705078125,0.21395605595367054,1.4517690057525523,0.705078125,0.21395605595367054,0.2126198870357522,0.865234375,0.033208595238841246,0.2262471030423846,0.935546875,0.011508609086179409,275.4425053725763
discovery,true_g,0,g-0.6_w0.25,full,8,8,0.6226713320593663,0.919921875,0.152930158048489,0.6226713320593663,0.919921875,0.152930158048489,0.23167763713806397,0.91796875,0.03104556554023757,0.23626544029576058,0.923828125,0.01083416119792897,329.1979300015637
